Grade,Subject,Cumulative (%),Year
JU,English Literature,100,2022
I1,English Literature,98.5,2022
H2,English Literature,95.2,2022
G3,English Literature,89,2022
F6,English Literature,77.4,2022
E5,English Literature,61.5,2022
D6,English Literature,42,2022
C7,English Literature,23.4,2022
B8,English Literature,11.4,2022
A9,English Literature,4.1,2022
JU,Maths,100,2022
I1,Maths,97.6,2022
H2,Maths,90.5,2022
G3,Maths,78.2,2022
F6,Maths,63.5,2022
E5,Maths,45.9,2022
D6,Maths,29.4,2022
C7,Maths,19.1,2022
B8,Maths,11.5,2022
A9,Maths,4.3,2022
JU,English Language,100,2022
I1,English Language,98.9,2022
H2,English Language,95.7,2022
G3,English Language,88.5,2022
F6,English Language,70.5,2022
E5,English Language,54.3,2022
D6,English Language,36.4,2022
C7,English Language,20.3,2022
B8,English Language,10.2,2022
A9,English Language,3.6,2022
JU,English Literature,100,2021
I1,English Literature,98.9,2021
H2,English Literature,96.4,2021
G3,English Literature,90.9,2021
F6,English Literature,80.1,2021
E5,English Literature,62.6,2021
D6,English Literature,42.7,2021
C7,English Literature,24.9,2021
B8,English Literature,12.2,2021
A9,English Literature,4.5,2021
JU,Maths,100,2021
I1,Maths,98.4,2021
H2,Maths,93.2,2021
G3,Maths,84.3,2021
F6,Maths,70.8,2021
E5,Maths,50.2,2021
D6,Maths,30.8,2021
C7,Maths,20.9,2021
B8,Maths,11.8,2021
A9,Maths,4.8,2021
JU,English Language,100,2021
I1,English Language,98.6,2021
H2,English Language,95.8,2021
G3,English Language,89.1,2021
F6,English Language,74,2021
E5,English Language,55.3,2021
D6,English Language,37.7,2021
C7,English Language,21.9,2021
B8,English Language,11.2,2021
A9,English Language,4.4,2021
JU,English Literature,100,2020
I1,English Literature,99.4,2020
H2,English Literature,96.9,2020
G3,English Literature,91.2,2020
F6,English Literature,79.5,2020
E5,English Literature,61.3,2020
D6,English Literature,41.5,2020
C7,English Literature,23.6,2020
B8,English Literature,11.5,2020
A9,English Literature,4.4,2020
JU,Maths,100,2020
I1,Maths,99.4,2020
H2,Maths,94.3,2020
G3,Maths,83.5,2020
F6,Maths,65.5,2020
E5,Maths,45,2020
D6,Maths,28.5,2020
C7,Maths,18.7,2020
B8,Maths,10.3,2020
A9,Maths,4.2,2020
JU,English Language,100,2020
I1,English Language,99.6,2020
H2,English Language,97.7,2020
G3,English Language,91,2020
F6,English Language,71.7,2020
E5,English Language,51.3,2020
D6,English Language,33.7,2020
C7,English Language,18.5,2020
B8,English Language,8.8,2020
A9,English Language,3.3,2020
JU,English Literature,100,2019
I1,English Literature,98.4,2019
H2,English Literature,94.5,2019
G3,English Literature,87.3,2019
F6,English Literature,73.2,2019
E5,English Literature,55.8,2019
D6,English Literature,36.2,2019
C7,English Literature,19.8,2019
B8,English Literature,9.5,2019
A9,English Literature,3.4,2019
JU,Maths,100,2019
I1,Maths,97.5,2019
H2,Maths,89.4,2019
G3,Maths,76,2019
F6,Maths,58,2019
E5,Maths,38.8,2019
D6,Maths,23.9,2019
C7,Maths,15.5,2019
B8,Maths,8.2,2019
A9,Maths,2.8,2019
JU,English Language,100,2019
I1,English Language,98.9,2019
H2,English Language,95.7,2019
G3,English Language,87.2,2019
F6,English Language,62.1,2019
E5,English Language,44.8,2019
D6,English Language,27.3,2019
C7,English Language,13.6,2019
B8,English Language,6.4,2019
A9,English Language,2.1,2019
JU,English Literature,100,2018
I1,English Literature,98.2,2018
H2,English Literature,94,2018
G3,English Literature,85.8,2018
F6,English Literature,72.6,2018
E5,English Literature,55,2018
D6,English Literature,35.4,2018
C7,English Literature,19.2,2018
B8,English Literature,9.3,2018
A9,English Literature,3.3,2018
JU,Maths,100,2018
I1,Maths,97.5,2018
H2,Maths,89.9,2018
G3,Maths,76.7,2018
F6,Maths,58.9,2018
E5,Maths,39.3,2018
D6,Maths,24.7,2018
C7,Maths,15,2018
B8,Maths,7.6,2018
A9,Maths,2.7,2018
JU,English Language,100,2018
I1,English Language,98.9,2018
H2,English Language,95.8,2018
G3,English Language,87.1,2018
F6,English Language,62.2,2018
E5,English Language,45.1,2018
D6,English Language,27.6,2018
C7,English Language,14,2018
B8,English Language,6,2018
A9,English Language,2,2018
