Country,Confirmed,Date,New Cases
Argentina,0,2020-01-22 00:00:00+00:00,0
Argentina,0,2020-01-23 00:00:00+00:00,0
Argentina,0,2020-01-24 00:00:00+00:00,0
Argentina,0,2020-01-25 00:00:00+00:00,0
Argentina,0,2020-01-26 00:00:00+00:00,0
Argentina,0,2020-01-27 00:00:00+00:00,0
Argentina,0,2020-01-28 00:00:00+00:00,0
Argentina,0,2020-01-29 00:00:00+00:00,0
Argentina,0,2020-01-30 00:00:00+00:00,0
Argentina,0,2020-01-31 00:00:00+00:00,0
Argentina,0,2020-02-01 00:00:00+00:00,0
Argentina,0,2020-02-02 00:00:00+00:00,0
Argentina,0,2020-02-03 00:00:00+00:00,0
Argentina,0,2020-02-04 00:00:00+00:00,0
Argentina,0,2020-02-05 00:00:00+00:00,0
Argentina,0,2020-02-06 00:00:00+00:00,0
Argentina,0,2020-02-07 00:00:00+00:00,0
Argentina,0,2020-02-08 00:00:00+00:00,0
Argentina,0,2020-02-09 00:00:00+00:00,0
Argentina,0,2020-02-10 00:00:00+00:00,0
Argentina,0,2020-02-11 00:00:00+00:00,0
Argentina,0,2020-02-12 00:00:00+00:00,0
Argentina,0,2020-02-13 00:00:00+00:00,0
Argentina,0,2020-02-14 00:00:00+00:00,0
Argentina,0,2020-02-15 00:00:00+00:00,0
Argentina,0,2020-02-16 00:00:00+00:00,0
Argentina,0,2020-02-17 00:00:00+00:00,0
Argentina,0,2020-02-18 00:00:00+00:00,0
Argentina,0,2020-02-19 00:00:00+00:00,0
Argentina,0,2020-02-20 00:00:00+00:00,0
Argentina,0,2020-02-21 00:00:00+00:00,0
Argentina,0,2020-02-22 00:00:00+00:00,0
Argentina,0,2020-02-23 00:00:00+00:00,0
Argentina,0,2020-02-24 00:00:00+00:00,0
Argentina,0,2020-02-25 00:00:00+00:00,0
Argentina,0,2020-02-26 00:00:00+00:00,0
Argentina,0,2020-02-27 00:00:00+00:00,0
Argentina,0,2020-02-28 00:00:00+00:00,0
Argentina,0,2020-02-29 00:00:00+00:00,0
Argentina,0,2020-03-01 00:00:00+00:00,0
Argentina,0,2020-03-02 00:00:00+00:00,0
Argentina,1,2020-03-03 00:00:00+00:00,1
Argentina,1,2020-03-04 00:00:00+00:00,0
Argentina,1,2020-03-05 00:00:00+00:00,0
Argentina,2,2020-03-06 00:00:00+00:00,1
Argentina,8,2020-03-07 00:00:00+00:00,6
Argentina,12,2020-03-08 00:00:00+00:00,4
Argentina,12,2020-03-09 00:00:00+00:00,0
Argentina,17,2020-03-10 00:00:00+00:00,5
Argentina,19,2020-03-11 00:00:00+00:00,2
Argentina,19,2020-03-12 00:00:00+00:00,0
Argentina,31,2020-03-13 00:00:00+00:00,12
Argentina,34,2020-03-14 00:00:00+00:00,3
Argentina,45,2020-03-15 00:00:00+00:00,11
Argentina,56,2020-03-16 00:00:00+00:00,11
Argentina,68,2020-03-17 00:00:00+00:00,12
Argentina,79,2020-03-18 00:00:00+00:00,11
Argentina,97,2020-03-19 00:00:00+00:00,18
Argentina,128,2020-03-20 00:00:00+00:00,31
Argentina,158,2020-03-21 00:00:00+00:00,30
Argentina,266,2020-03-22 00:00:00+00:00,108
Argentina,301,2020-03-23 00:00:00+00:00,35
Argentina,387,2020-03-24 00:00:00+00:00,86
Argentina,387,2020-03-25 00:00:00+00:00,0
Argentina,502,2020-03-26 00:00:00+00:00,115
Argentina,589,2020-03-27 00:00:00+00:00,87
Argentina,690,2020-03-28 00:00:00+00:00,101
Argentina,745,2020-03-29 00:00:00+00:00,55
Argentina,820,2020-03-30 00:00:00+00:00,75
Argentina,1054,2020-03-31 00:00:00+00:00,234
Argentina,1054,2020-04-01 00:00:00+00:00,0
Argentina,1133,2020-04-02 00:00:00+00:00,79
Argentina,1265,2020-04-03 00:00:00+00:00,132
Argentina,1451,2020-04-04 00:00:00+00:00,186
Argentina,1451,2020-04-05 00:00:00+00:00,0
Argentina,1554,2020-04-06 00:00:00+00:00,103
Argentina,1628,2020-04-07 00:00:00+00:00,74
Argentina,1715,2020-04-08 00:00:00+00:00,87
Argentina,1795,2020-04-09 00:00:00+00:00,80
Argentina,1975,2020-04-10 00:00:00+00:00,180
Argentina,1975,2020-04-11 00:00:00+00:00,0
Argentina,2142,2020-04-12 00:00:00+00:00,167
Argentina,2208,2020-04-13 00:00:00+00:00,66
Argentina,2277,2020-04-14 00:00:00+00:00,69
Argentina,2443,2020-04-15 00:00:00+00:00,166
Argentina,2571,2020-04-16 00:00:00+00:00,128
Argentina,2669,2020-04-17 00:00:00+00:00,98
Argentina,2758,2020-04-18 00:00:00+00:00,89
Argentina,2839,2020-04-19 00:00:00+00:00,81
Argentina,2941,2020-04-20 00:00:00+00:00,102
Argentina,3031,2020-04-21 00:00:00+00:00,90
Argentina,3144,2020-04-22 00:00:00+00:00,113
Argentina,3435,2020-04-23 00:00:00+00:00,291
Argentina,3607,2020-04-24 00:00:00+00:00,172
Argentina,3780,2020-04-25 00:00:00+00:00,173
Argentina,3892,2020-04-26 00:00:00+00:00,112
Argentina,4003,2020-04-27 00:00:00+00:00,111
Argentina,4127,2020-04-28 00:00:00+00:00,124
Argentina,4285,2020-04-29 00:00:00+00:00,158
Argentina,4428,2020-04-30 00:00:00+00:00,143
Argentina,4532,2020-05-01 00:00:00+00:00,104
Argentina,4681,2020-05-02 00:00:00+00:00,149
Argentina,4783,2020-05-03 00:00:00+00:00,102
Argentina,4887,2020-05-04 00:00:00+00:00,104
Argentina,5020,2020-05-05 00:00:00+00:00,133
Argentina,5208,2020-05-06 00:00:00+00:00,188
Argentina,5371,2020-05-07 00:00:00+00:00,163
Argentina,5611,2020-05-08 00:00:00+00:00,240
Argentina,5776,2020-05-09 00:00:00+00:00,165
Argentina,6034,2020-05-10 00:00:00+00:00,258
Argentina,6278,2020-05-11 00:00:00+00:00,244
Argentina,6563,2020-05-12 00:00:00+00:00,285
Argentina,6879,2020-05-13 00:00:00+00:00,316
Argentina,7134,2020-05-14 00:00:00+00:00,255
Argentina,7479,2020-05-15 00:00:00+00:00,345
Argentina,7805,2020-05-16 00:00:00+00:00,326
Argentina,8068,2020-05-17 00:00:00+00:00,263
Argentina,8371,2020-05-18 00:00:00+00:00,303
Argentina,8809,2020-05-19 00:00:00+00:00,438
Argentina,9283,2020-05-20 00:00:00+00:00,474
Argentina,9931,2020-05-21 00:00:00+00:00,648
Argentina,10649,2020-05-22 00:00:00+00:00,718
Argentina,11353,2020-05-23 00:00:00+00:00,704
Argentina,12076,2020-05-24 00:00:00+00:00,723
Argentina,12628,2020-05-25 00:00:00+00:00,552
Argentina,13228,2020-05-26 00:00:00+00:00,600
Argentina,13933,2020-05-27 00:00:00+00:00,705
Argentina,14702,2020-05-28 00:00:00+00:00,769
Argentina,15419,2020-05-29 00:00:00+00:00,717
Argentina,16214,2020-05-30 00:00:00+00:00,795
Argentina,16851,2020-05-31 00:00:00+00:00,637
Argentina,17415,2020-06-01 00:00:00+00:00,564
Argentina,18319,2020-06-02 00:00:00+00:00,904
Argentina,19268,2020-06-03 00:00:00+00:00,949
Argentina,20197,2020-06-04 00:00:00+00:00,929
Argentina,21037,2020-06-05 00:00:00+00:00,840
Argentina,22020,2020-06-06 00:00:00+00:00,983
Argentina,22794,2020-06-07 00:00:00+00:00,774
Argentina,23620,2020-06-08 00:00:00+00:00,826
Argentina,24761,2020-06-09 00:00:00+00:00,1141
Argentina,25987,2020-06-10 00:00:00+00:00,1226
Argentina,27373,2020-06-11 00:00:00+00:00,1386
Argentina,28764,2020-06-12 00:00:00+00:00,1391
Argentina,30295,2020-06-13 00:00:00+00:00,1531
Argentina,31577,2020-06-14 00:00:00+00:00,1282
Argentina,32785,2020-06-15 00:00:00+00:00,1208
Argentina,34159,2020-06-16 00:00:00+00:00,1374
Argentina,35552,2020-06-17 00:00:00+00:00,1393
Argentina,37510,2020-06-18 00:00:00+00:00,1958
Argentina,39570,2020-06-19 00:00:00+00:00,2060
Argentina,41204,2020-06-20 00:00:00+00:00,1634
Argentina,42785,2020-06-21 00:00:00+00:00,1581
Argentina,44931,2020-06-22 00:00:00+00:00,2146
Argentina,47203,2020-06-23 00:00:00+00:00,2272
Argentina,49851,2020-06-24 00:00:00+00:00,2648
Argentina,52457,2020-06-25 00:00:00+00:00,2606
Argentina,55343,2020-06-26 00:00:00+00:00,2886
Argentina,57744,2020-06-27 00:00:00+00:00,2401
Argentina,59933,2020-06-28 00:00:00+00:00,2189
Argentina,62268,2020-06-29 00:00:00+00:00,2335
Argentina,64530,2020-06-30 00:00:00+00:00,2262
Argentina,67197,2020-07-01 00:00:00+00:00,2667
Argentina,69941,2020-07-02 00:00:00+00:00,2744
Argentina,72786,2020-07-03 00:00:00+00:00,2845
Argentina,75376,2020-07-04 00:00:00+00:00,2590
Argentina,77815,2020-07-05 00:00:00+00:00,2439
Argentina,80447,2020-07-06 00:00:00+00:00,2632
Argentina,83426,2020-07-07 00:00:00+00:00,2979
Argentina,87030,2020-07-08 00:00:00+00:00,3604
Argentina,90693,2020-07-09 00:00:00+00:00,3663
Argentina,94060,2020-07-10 00:00:00+00:00,3367
Argentina,97509,2020-07-11 00:00:00+00:00,3449
Argentina,100166,2020-07-12 00:00:00+00:00,2657
Argentina,103265,2020-07-13 00:00:00+00:00,3099
Argentina,106910,2020-07-14 00:00:00+00:00,3645
Argentina,111146,2020-07-15 00:00:00+00:00,4236
Argentina,114783,2020-07-16 00:00:00+00:00,3637
Argentina,119301,2020-07-17 00:00:00+00:00,4518
Argentina,122524,2020-07-18 00:00:00+00:00,3223
Argentina,126755,2020-07-19 00:00:00+00:00,4231
Argentina,130774,2020-07-20 00:00:00+00:00,4019
Argentina,136118,2020-07-21 00:00:00+00:00,5344
Argentina,141900,2020-07-22 00:00:00+00:00,5782
Argentina,148027,2020-07-23 00:00:00+00:00,6127
Argentina,153520,2020-07-24 00:00:00+00:00,5493
Argentina,158334,2020-07-25 00:00:00+00:00,4814
Argentina,162526,2020-07-26 00:00:00+00:00,4192
Argentina,167416,2020-07-27 00:00:00+00:00,4890
Argentina,173355,2020-07-28 00:00:00+00:00,5939
Argentina,178996,2020-07-29 00:00:00+00:00,5641
Argentina,185373,2020-07-30 00:00:00+00:00,6377
Argentina,191302,2020-07-31 00:00:00+00:00,5929
Argentina,196543,2020-08-01 00:00:00+00:00,5241
Argentina,201919,2020-08-02 00:00:00+00:00,5376
Argentina,206743,2020-08-03 00:00:00+00:00,4824
Argentina,213535,2020-08-04 00:00:00+00:00,6792
Argentina,220682,2020-08-05 00:00:00+00:00,7147
Argentina,228195,2020-08-06 00:00:00+00:00,7513
Argentina,235677,2020-08-07 00:00:00+00:00,7482
Argentina,241811,2020-08-08 00:00:00+00:00,6134
Argentina,246499,2020-08-09 00:00:00+00:00,4688
Argentina,253868,2020-08-10 00:00:00+00:00,7369
Argentina,260911,2020-08-11 00:00:00+00:00,7043
Argentina,268574,2020-08-12 00:00:00+00:00,7663
Argentina,276072,2020-08-13 00:00:00+00:00,7498
Argentina,282437,2020-08-14 00:00:00+00:00,6365
Argentina,289100,2020-08-15 00:00:00+00:00,6663
Argentina,294569,2020-08-16 00:00:00+00:00,5469
Argentina,299126,2020-08-17 00:00:00+00:00,4557
Argentina,305966,2020-08-18 00:00:00+00:00,6840
Argentina,312659,2020-08-19 00:00:00+00:00,6693
Argentina,320884,2020-08-20 00:00:00+00:00,8225
Argentina,329043,2020-08-21 00:00:00+00:00,8159
Argentina,336802,2020-08-22 00:00:00+00:00,7759
Argentina,342154,2020-08-23 00:00:00+00:00,5352
Argentina,350867,2020-08-24 00:00:00+00:00,8713
Argentina,359638,2020-08-25 00:00:00+00:00,8771
Argentina,370188,2020-08-26 00:00:00+00:00,10550
Argentina,380292,2020-08-27 00:00:00+00:00,10104
Argentina,392009,2020-08-28 00:00:00+00:00,11717
Argentina,401239,2020-08-29 00:00:00+00:00,9230
Argentina,408426,2020-08-30 00:00:00+00:00,7187
Argentina,417735,2020-08-31 00:00:00+00:00,9309
Argentina,428239,2020-09-01 00:00:00+00:00,10504
Argentina,439172,2020-09-02 00:00:00+00:00,10933
Argentina,451198,2020-09-03 00:00:00+00:00,12026
Argentina,461882,2020-09-04 00:00:00+00:00,10684
Argentina,471806,2020-09-05 00:00:00+00:00,9924
Argentina,478792,2020-09-06 00:00:00+00:00,6986
Argentina,488007,2020-09-07 00:00:00+00:00,9215
Argentina,500034,2020-09-08 00:00:00+00:00,12027
Argentina,512293,2020-09-09 00:00:00+00:00,12259
Argentina,524198,2020-09-10 00:00:00+00:00,11905
Argentina,535705,2020-09-11 00:00:00+00:00,11507
Argentina,546481,2020-09-12 00:00:00+00:00,10776
Argentina,555537,2020-09-13 00:00:00+00:00,9056
Argentina,565446,2020-09-14 00:00:00+00:00,9909
Argentina,577338,2020-09-15 00:00:00+00:00,11892
Argentina,589012,2020-09-16 00:00:00+00:00,11674
