Country,Days,Days missed
England - Schooling Days,Equivalent to schooling,129
England - Schooling Days,Of schooling lost,61
England - Classroom Days,In classroom,80
England - Classroom Days,Not in classroom,110
Northern Ireland - Schooling Days,Equivalent to schooling,129
Northern Ireland - Schooling Days,Of schooling lost,61
Northern Ireland - Classroom Days,In classroom,71
Northern Ireland - Classroom Days,Not in classroom,119
Scotland - Schooling Days,Equivalent to schooling,126
Scotland - Schooling Days,Of schooling lost,64
Scotland - Classroom Days,In classroom,71
Scotland - Classroom Days,Not in classroom,119
Wales - Schooling Days,Equivalent to schooling,124
Wales - Schooling Days,Of schooling lost,66
Wales - Classroom Days,In classroom,66
Wales - Classroom Days,Not in classroom,124
